Volume Snapshot "Create Time" "Size (MB)"
nas_vserver_root daily.2026-01-28_0010 "2026-01-28 00:10:00+00:00" 0
nas_vserver_root hourly.2026-01-28_0905 "2026-01-28 09:05:00+00:00" 0
nas_vserver_root hourly.2026-01-28_1005 "2026-01-28 10:05:00+00:00" 0
nas_vserver_root hourly.2026-01-28_1105 "2026-01-28 11:05:00+00:00" 0
nas_vserver_root hourly.2026-01-28_1205 "2026-01-28 12:05:00+00:00" 0
nas_vserver_root hourly.2026-01-28_1305 "2026-01-28 13:05:00+00:00" 0
nas_vserver_root hourly.2026-01-28_1405 "2026-01-28 14:05:00+00:00" 0
auto_vol_01 hourly.2026-01-28_1105 "2026-01-28 11:05:00+00:00" 0
auto_vol_01 auto_snap_20260128_111214 "2026-01-28 11:12:15+00:00" 0
auto_vol_01 hourly.2026-01-28_1205 "2026-01-28 12:05:00+00:00" 0
auto_vol_01 hourly.2026-01-28_1305 "2026-01-28 13:05:00+00:00" 0
auto_vol_01 hourly.2026-01-28_1405 "2026-01-28 14:05:00+00:00" 0
auto_vol_02 hourly.2026-01-28_1105 "2026-01-28 11:05:00+00:00" 0
auto_vol_02 hourly.2026-01-28_1205 "2026-01-28 12:05:00+00:00" 0
auto_vol_02 hourly.2026-01-28_1305 "2026-01-28 13:05:00+00:00" 0
auto_vol_02 hourly.2026-01-28_1405 "2026-01-28 14:05:00+00:00" 0
test daily.2026-01-28_0010 "2026-01-28 00:10:00+00:00" 0
test hourly.2026-01-28_0905 "2026-01-28 09:05:00+00:00" 0
test hourly.2026-01-28_1005 "2026-01-28 10:05:00+00:00" 0
test hourly.2026-01-28_1105 "2026-01-28 11:05:00+00:00" 0
test hourly.2026-01-28_1205 "2026-01-28 12:05:00+00:00" 0
test hourly.2026-01-28_1305 "2026-01-28 13:05:00+00:00" 0
test hourly.2026-01-28_1405 "2026-01-28 14:05:00+00:00" 0
